time,open,high,low,close
1719362700,61674.01,61707.65,61674,61703.2
1719362760,61703.19,61740,61703.19,61740
1719362820,61740,61743.99,61728.47,61740
1719362880,61740,61794.71,61739.99,61790.01
1719362940,61790.01,61794.71,61780,61780.01
1719363000,61780.01,61780.01,61724,61724.01
1719363060,61724.01,61728,61720.52,61720.53
1719363120,61720.52,61740,61720.52,61740
1719363180,61740,61764,61739.99,61760.01
1719363240,61760.01,61797.58,61756,61793.13
1719363300,61793.12,61793.13,61770,61789.45
1719363360,61789.44,61789.45,61770,61770.01
1719363420,61770.01,61799.49,61770,61780
1719363480,61780.01,61780.01,61768,61768
1719363540,61768.01,61771.95,61767.71,61767.72
1719363600,61767.72,61793.82,61767.71,61793.82
1719363660,61793.82,61816.19,61793.81,61816.19
1719363720,61816.19,61826,61771.95,61808
1719363780,61808,61808,61779.53,61779.54
1719363840,61779.54,61779.54,61728.17,61739.99
1719363900,61739.98,61776,61739.98,61770.29
1719363960,61770.29,61793.82,61770.29,61786.66
1719364020,61786.66,61810,61786.65,61808.08
1719364080,61808.07,61820,61804.37,61804.38
1719364140,61804.38,61804.38,61784,61784.01
1719364200,61784.01,61810,61762,61810
1719364260,61810,61847.05,61809.99,61830.01
1719364320,61830.01,61911.49,61830.01,61903.74
1719364380,61903.73,61906.19,61884,61900.01
1719364440,61900.01,61911.49,61880,61911.49
1719364500,61911.49,61919.03,61908,61919.03
1719364560,61919.03,61987.6,61915.09,61915.78
1719364620,61915.77,61926.36,61890,61920
1719364680,61920,62003.9,61920,62003.9
1719364740,62003.9,62023,61980,61982.73
1719364800,61982.73,62023.71,61973.05,62002.01
1719364860,62002.01,62080.66,62002.01,62047.98
1719364920,62047.98,62056.47,61988,61997.31
1719364980,61997.31,62025.48,61980.01,61998.31
1719365040,61998.31,62010,61982.78,61982.79
1719365100,61982.78,62009.99,61975.05,62002
1719365160,62002,62020,61988.5,62020
1719365220,62020,62020,61993.6,61993.61
1719365280,61993.61,61993.61,61945.99,61964.01
1719365340,61964.01,62018.06,61964.01,62007.99
1719365400,62007.99,62015.99,61980.04,61980.05
1719365460,61980.05,61980.05,61920,61920.01
1719365520,61920,62000,61910.22,61926.01
1719365580,61926.01,61959.13,61926,61950
1719365640,61950,61950,61922.04,61922.05
1719365700,61922.04,61922.04,61876.51,61915.34
1719365760,61916,61946.9,61902,61934
1719365820,61934,61994,61934,61964.01
1719365880,61964.01,61996,61948.33,61980.75
1719365940,61980.75,62000,61980.74,62000
1719366000,61999.99,62000,61982.62,61992
1719366060,61992,62000,61985.88,62000
1719366120,61999.99,62015.01,61984.44,62015.01
1719366180,62015,62028,61999.01,62018.13
1719366240,62018.13,62018.13,62001.39,62001.4
1719366300,62001.4,62001.4,61980,61980.01
1719366360,61980.01,62000,61980,61982.16
1719366420,61982.16,61995.68,61956,61995.68
1719366480,61995.68,61995.68,61970,61988
1719366540,61987.99,62022.29,61987.99,62008.01
1719366600,62008,62008,61979.99,61980
1719366660,61980,62018,61979.99,62018
1719366720,62017.99,62066,62017.99,62034.01
1719366780,62034,62054,62034,62044.75
1719366840,62044.75,62069.99,62044.74,62069.99
1719366900,62069.98,62181.98,62069.98,62181.98
1719366960,62182.1,62184.31,62138,62139.77
1719367020,62139.76,62139.77,62095.45,62095.46
1719367080,62095.45,62095.46,62076,62076.01
